algorithm,metric,feature_name,feature_value,shapley_value
inductive,benchtime,aq1,6413,3.458333333333332
inductive,benchtime,svo,758,2.273333333333333
inductive,benchtime,tlv,2776,16.348333333333333
inductive,benchtime,aq1,6413,-46.155
inductive,benchtime,svo,758,-42.62000000000001
inductive,benchtime,tlv,5551,93.73500000000001
inductive,benchtime,aq1,6413,-44.425000000000004
inductive,benchtime,svo,758,-50.410000000000004
inductive,benchtime,tlv,13878,96.085
inductive,benchtime,aq1,6413,-9.133333333333331
inductive,benchtime,svo,758,-21.838333333333335
inductive,benchtime,tlv,16654,60.53166666666666
inductive,benchtime,aq1,6413,-126.66166666666668
inductive,benchtime,svo,758,-131.05166666666665
inductive,benchtime,tlv,1943,260.0233333333333
inductive,benchtime,aq1,6413,-6.863333333333333
inductive,benchtime,svo,959,13.501666666666667
inductive,benchtime,saq1,10527,-2.0783333333333336
inductive,benchtime,aq1,6413,-11.783333333333333
inductive,benchtime,svo,959,30.611666666666668
inductive,benchtime,saq1,17479,23.84166666666667
inductive,benchtime,aq1,6413,-23.375000000000004
inductive,benchtime,svo,959,3.204999999999996
inductive,benchtime,saq1,2443,50.0
inductive,benchtime,aq1,6413,3.743333333333334
inductive,benchtime,svo,959,18.448333333333334
inductive,benchtime,saq1,27906,18.778333333333332
inductive,benchtime,aq1,6413,2.2466666666666697
inductive,benchtime,svo,959,11.636666666666665
inductive,benchtime,tlkh,437,80.86666666666667
inductive,benchtime,aq1,7992,1764.3366666666668
inductive,benchtime,saq1,10527,-848.4933333333337
inductive,benchtime,tlkh,-097,-867.8733333333334
inductive,benchtime,aq1,6413,-53.60166666666667
inductive,benchtime,svo,959,-29.846666666666675
inductive,benchtime,tlv,5551,85.37833333333333
inductive,benchtime,aq1,6413,-22.92833333333333
inductive,benchtime,svo,959,-3.0433333333333272
inductive,benchtime,tlv,11103,83.60166666666666
inductive,benchtime,aq1,6413,-27.55333333333333
inductive,benchtime,svo,959,-15.083333333333334
inductive,benchtime,tlv,16654,46.156666666666666
inductive,benchtime,aq1,6413,-133.30833333333334
inductive,benchtime,svo,959,-116.17833333333334
inductive,benchtime,tlv,1943,253.76666666666665
inductive,benchtime,aq1,7992,1776.8950000000004
inductive,benchtime,saq1,10527,-849.7550000000002
inductive,benchtime,tlkh,437,-795.4499999999999
inductive,benchtime,aq1,6413,-84.30333333333333
inductive,benchtime,svo,1563,304.84666666666664
inductive,benchtime,tlkh,437,-42.82333333333333
inductive,benchtime,aq1,6413,-186.61166666666665
inductive,benchtime,svo,1563,307.2833333333333
inductive,benchtime,tlv,2776,-116.67166666666667
inductive,benchtime,aq1,6413,-191.60166666666666
inductive,benchtime,svo,1563,262.6233333333334
inductive,benchtime,tlv,11103,-67.63166666666667
inductive,benchtime,aq1,6413,-13.698333333333332
inductive,benchtime,svo,1765,7.366666666666666
inductive,benchtime,saq1,17479,9.081666666666667
inductive,benchtime,aq1,6413,82.61833333333333
inductive,benchtime,svo,1765,61.90833333333333
inductive,benchtime,tlkh,437,139.6233333333333
inductive,benchtime,aq1,6413,-683.9216666666667
inductive,benchtime,svo,1765,-655.8566666666667
inductive,benchtime,tlv,8327,1342.4983333333332
inductive,benchtime,aq1,6413,-42.74666666666666
inductive,benchtime,svo,1765,-24.55666666666667
inductive,benchtime,tlv,11103,70.57333333333332
inductive,benchtime,aq1,6413,-63.75666666666667
inductive,benchtime,svo,1765,-32.02666666666667
inductive,benchtime,tlv,13878,101.82333333333334
inductive,benchtime,saq1,3576,7.516666666666667
inductive,benchtime,tlkh,-097,1.9616666666666667
inductive,benchtime,tlv,2776,14.701666666666666
inductive,benchtime,aq1,10,-4.025
inductive,benchtime,ekbr3,049,7.715000000000001
inductive,benchtime,tlkh,-097,8.9
inductive,benchtime,aq1,7992,1745.8116666666665
inductive,benchtime,ekbr3,097,-874.8683333333335
inductive,benchtime,svo,154,-862.1633333333333
inductive,benchtime,aq1,6413,-2.3899999999999983
inductive,benchtime,saq1,3576,5.240000000000002
inductive,benchtime,tlkh,437,92.41000000000001
inductive,benchtime,aq1,6413,-0.9383333333333335
inductive,benchtime,saq1,3576,-4.013333333333333
inductive,benchtime,tlv,2776,6.871666666666667
inductive,benchtime,aq1,6413,-84.09833333333333
inductive,benchtime,saq1,7052,157.18166666666667
inductive,benchtime,tlv,2776,-72.58333333333333
inductive,benchtime,aq1,6413,-61.08166666666667
inductive,benchtime,saq1,7052,186.29833333333332
inductive,benchtime,tlv,5551,78.81333333333335
inductive,benchtime,aq1,6413,29.24
inductive,benchtime,saq1,10527,-9.705
inductive,benchtime,tlkh,437,75.105
inductive,benchtime,aq1,6413,3.965
inductive,benchtime,saq1,10527,-3.035
inductive,benchtime,tlv,2776,5.489999999999999
inductive,benchtime,aq1,6413,18.813333333333336
inductive,benchtime,saq1,10527,4.683333333333333
inductive,benchtime,tlv,16654,81.50333333333333
inductive,benchtime,aq1,7992,1753.2283333333335
inductive,benchtime,ekbr3,097,-861.041666666667
inductive,benchtime,svo,355,-853.8766666666669
inductive,benchtime,aq1,6413,7.856666666666665
inductive,benchtime,saq1,17479,4.731666666666665
inductive,benchtime,tlkh,437,80.73166666666667
inductive,benchtime,aq1,6413,-77.69500000000001
inductive,benchtime,saq1,17479,-20.820000000000004
inductive,benchtime,tlv,5551,101.175
inductive,benchtime,aq1,6413,-752.8116666666666
inductive,benchtime,saq1,2443,-593.1966666666667
inductive,benchtime,tlv,8327,1349.8783333333333
inductive,benchtime,aq1,6413,-147.09333333333333
inductive,benchtime,saq1,2443,73.79666666666667
inductive,benchtime,tlv,11103,113.64666666666666
inductive,benchtime,aq1,6413,27.52333333333333
inductive,benchtime,saq1,27906,-0.8016666666666694
inductive,benchtime,tlkh,437,68.09833333333334
inductive,benchtime,aq1,6413,-42.181666666666665
inductive,benchtime,saq1,27906,26.683333333333337
inductive,benchtime,tlv,2776,19.298333333333332
inductive,benchtime,aq1,6413,-116.69833333333334
inductive,benchtime,saq1,27906,1.4416666666666604
inductive,benchtime,tlv,5551,116.33666666666666
inductive,benchtime,aq1,6413,-50.49833333333334
inductive,benchtime,saq1,27906,-33.93333333333334
inductive,benchtime,tlv,13878,91.10166666666667
inductive,benchtime,aq1,6413,81.89166666666667
inductive,benchtime,tlkh,437,100.04666666666667
inductive,benchtime,tlv,2776,23.76166666666666
inductive,benchtime,aq1,6413,39.44833333333332
inductive,benchtime,tlkh,437,106.72333333333331
inductive,benchtime,tlv,5551,152.71833333333336
inductive,benchtime,aq1,6413,-603.5833333333334
inductive,benchtime,tlkh,437,-564.4783333333334
inductive,benchtime,tlv,8327,1356.1616666666666
inductive,benchtime,aq1,6413,-20.134999999999994
inductive,benchtime,tlkh,437,58.185000000000024
inductive,benchtime,tlv,11103,75.60000000000001
inductive,benchtime,saq1,3576,34.17333333333334
inductive,benchtime,tlkh,437,89.13333333333333
inductive,benchtime,tlv,5551,139.81333333333336
inductive,benchtime,aq1,10,6.871666666666669
inductive,benchtime,ekbr3,049,-41.75833333333333
inductive,benchtime,tlkh,437,35.00666666666667
inductive,benchtime,aq1,7992,1742.7416666666668
inductive,benchtime,ekbr3,097,-872.1583333333334
inductive,benchtime,svo,758,-860.5133333333334
inductive,benchtime,aq1,7992,1742.8
inductive,benchtime,ekbr3,00,-871.015
inductive,benchtime,rt5v,023,-869.0249999999997
inductive,benchtime,aq1,7992,1747.5449999999998
inductive,benchtime,ekbr3,00,-870.815
inductive,benchtime,svo,355,-862.1600000000003
inductive,benchtime,aq1,7992,1746.4116666666669
inductive,benchtime,ekbr3,00,-876.9983333333334
inductive,benchtime,svo,758,-863.8633333333333
inductive,benchtime,aq1,7992,1740.6999999999998
inductive,benchtime,ekbr3,00,-875.3950000000001
inductive,benchtime,svo,959,-848.3249999999998
inductive,benchtime,aq1,7992,1741.0366666666669
inductive,benchtime,ekbr3,00,-875.4883333333336
inductive,benchtime,saq1,3576,-863.1083333333331
inductive,benchtime,aq1,7992,1741.9783333333332
inductive,benchtime,ekbr3,00,-874.4466666666668
inductive,benchtime,saq1,27906,-852.5616666666668
inductive,benchtime,aq1,7992,1750.9866666666665
inductive,benchtime,ekbr3,049,-875.5483333333335
inductive,benchtime,svo,154,-861.9883333333332
inductive,benchtime,aq1,7992,1744.403333333333
inductive,benchtime,ekbr3,049,-874.1516666666668
inductive,benchtime,svo,758,-861.6516666666668
inductive,benchtime,aq1,7992,1740.9516666666666
inductive,benchtime,ekbr3,049,-874.6833333333334
inductive,benchtime,saq1,3576,-862.9383333333332
inductive,benchtime,aq1,7992,1720.8016666666665
inductive,benchtime,ekbr3,049,-899.4283333333336
inductive,benchtime,saq1,2443,-820.2533333333334
inductive,benchtime,aq1,7992,1744.3933333333332
inductive,benchtime,ekbr3,097,-864.0116666666668
inductive,benchtime,svo,959,-838.4316666666665
inductive,benchtime,aq1,7992,1651.3283333333336
inductive,benchtime,ekbr3,049,-889.361666666667
inductive,benchtime,tlv,16654,-718.9966666666668
inductive,benchtime,aq1,7992,1754.7400000000005
inductive,benchtime,ekbr3,097,-857.9100000000002
inductive,benchtime,rt5v,023,-857.4099999999997
inductive,benchtime,aq1,7992,1740.9233333333334
inductive,benchtime,ekbr3,097,-874.3816666666667
inductive,benchtime,saq1,3576,-863.4916666666668
inductive,benchtime,aq1,7992,1703.716666666667
inductive,benchtime,ekbr3,097,-867.2583333333333
inductive,benchtime,saq1,2443,-788.9383333333335
inductive,benchtime,aq1,7992,1736.3550000000002
inductive,benchtime,ekbr3,097,-877.8850000000001
inductive,benchtime,saq1,27906,-857.4900000000001
inductive,benchtime,aq1,7992,1781.6766666666672
inductive,benchtime,ekbr3,097,-877.3383333333333
inductive,benchtime,tlkh,437,-802.5783333333334
inductive,benchtime,aq1,7992,1771.3083333333332
inductive,benchtime,ekbr3,146,-854.1566666666666
inductive,benchtime,svo,154,-884.8116666666665
inductive,benchtime,aq1,7992,1752.4366666666665
inductive,benchtime,ekbr3,146,-851.1283333333336
inductive,benchtime,svo,1765,-874.1583333333333
inductive,benchtime,aq1,7992,1751.736666666667
inductive,benchtime,ekbr3,146,-857.3483333333335
inductive,benchtime,saq1,3576,-889.8183333333333
inductive,benchtime,aq1,7992,1750.2749999999999
inductive,benchtime,ekbr3,146,-838.2100000000002
inductive,benchtime,tlkh,-097,-880.495
inductive,benchtime,aq1,7992,1573.1500000000003
inductive,benchtime,ekbr3,146,-816.1300000000002
inductive,benchtime,tlv,5551,-712.4300000000002
inductive,benchtime,ekbr3,00,-803.8100000000001
inductive,benchtime,nusa,211,1639.25
inductive,benchtime,rt5v,00,-808.7600000000001
inductive,benchtime,ekbr3,00,-821.5466666666665
inductive,benchtime,nusa,211,1629.2283333333332
inductive,benchtime,svo,959,-798.9516666666665
inductive,benchtime,ekbr3,00,-822.8416666666667
inductive,benchtime,nusa,211,1636.4233333333334
inductive,benchtime,svo,1362,-806.2816666666666
inductive,benchtime,aq1,7992,1740.97
inductive,benchtime,ekbr3,097,-867.9350000000001
inductive,benchtime,svo,1765,-847.605
inductive,benchtime,aq1,10,2.7833333333333337
inductive,benchtime,rt5v,00,3.2133333333333334
inductive,benchtime,svo,154,-0.6366666666666664
inductive,benchtime,ekbr3,00,-822.5999999999999
inductive,benchtime,nusa,211,1636.42
inductive,benchtime,svo,1765,-803.5799999999999
inductive,benchtime,aq1,10,-11.174999999999999
inductive,benchtime,rt5v,00,9.935
inductive,benchtime,svo,355,5.739999999999999
inductive,benchtime,aq1,10,2.253333333333333
inductive,benchtime,rt5v,00,-0.7216666666666663
inductive,benchtime,svo,758,2.678333333333334
inductive,benchtime,aq1,10,-5.285000000000001
inductive,benchtime,rt5v,00,-8.17
inductive,benchtime,svo,959,15.905000000000001
inductive,benchtime,aq1,7992,1627.735
inductive,benchtime,ekbr3,437,-610.005
inductive,benchtime,svo,758,-979.9000000000002
inductive,benchtime,aq1,7992,1620.5000000000002
inductive,benchtime,ekbr3,437,-603.13
inductive,benchtime,svo,959,-959.0899999999998
inductive,benchtime,ekbr3,00,-797.8166666666666
inductive,benchtime,nusa,211,1611.2683333333332
