activities_q1,eventropy_k_block_ratio_3,log,n_unique_start_activities,ratio_top_5_variants,skewness_variant_occurrence,start_activities_q1,target_similarity,trace_len_kurtosis_hist,trace_len_variance
54.5,,genEL10000_6413_nan_nan_nan_758_31382_nan_nan,,,1.6991441710542114,43.5,0.9683497128781065,,
89.0,,genEL10001_6413_nan_nan_nan_758_nan_-097_nan,,,9.05436582714667,,0.9920814565040244,-1.8333333333333333,
315.0,,genEL10002_6413_nan_nan_nan_758_nan_081_nan,,,11.753221823901828,,0.9766709507908724,-1.8333333333333333,
,,genEL10002_nan_nan_433_nan_nan_17479_97_nan,4.0,,,70.75,0.9993587769084217,-1.8333333333333333,
89.0,,genEL10003_6413_nan_nan_nan_758_nan_259_nan,,,9.05436582714667,,0.9919967413136388,-1.8333333333333333,
,,genEL10003_nan_nan_433_nan_nan_17479_1148_nan,4.0,,,70.75,0.9993164193132289,-1.8333333333333333,
1498.0,,genEL10004_6413_nan_nan_nan_758_nan_437_nan,,,16.247516153879786,,0.9469238062635654,-1.8333333333333333,
89.0,,genEL10005_6413_nan_nan_nan_758_nan_615_nan,,,9.05436582714667,,0.9919120261232534,-1.8333333333333333,
89.0,,genEL10006_6413_nan_nan_nan_758_nan_792_nan,,,9.05436582714667,,0.9918699064920785,-1.8333333333333333,
89.0,,genEL10007_6413_nan_nan_nan_758_nan_97_nan,,,9.05436582714667,,0.9918275488968858,-1.8333333333333333,
89.0,,genEL10008_6413_nan_nan_nan_758_nan_1148_nan,,,9.05436582714667,,0.9917851913016931,-1.8333333333333333,
89.0,,genEL10009_6413_nan_nan_nan_758_nan_1326_nan,,,9.05436582714667,,0.9917428337065003,-1.8333333333333333,
3947.0,,genEL1000_10_nan_878_nan_nan_nan_nan_24981,8.0,,,,0.9778106944489585,,9.1875
627.0,,genEL1000_12727_nan_nan_046_nan_31382_nan_nan,,0.05857942482146304,,323.25,0.8609197742161334,,
,1.958,genEL1000_nan_097_nan_nan_758_nan_792_nan,,,7.374630124409407,,0.9524156283195784,0.27289037221817347,
,,genEL1000_nan_nan_10_nan_nan_2443_nan_5551,2.0,,,222.0,0.9991615833637806,,9.1875
,,genEL1000_nan_nan_878_031_nan_10_nan_nan,8.0,0.028698979591836735,,3.0,0.9039931650973909,,
,,genEL1000_nan_nan_878_nan_nan_31382_081_nan,8.0,,,132.75,0.9992139256422092,-1.8333333333333333,
,,genEL1000_nan_nan_nan_015_959_nan_nan_00,,0.009738527214514408,8.321701847436268,,0.945531191079355,,9.1875
,,genEL1000_nan_nan_nan_nan_959_17479_nan_nan,,,9.05436582714667,159.0,0.9957118942702874,,
,,genEL1000_nan_nan_nan_nan_nan_10_1326_13878,,,,5.75,0.9985771652897989,-1.8333333333333333,9.1875
89.0,,genEL10010_6413_nan_nan_nan_758_nan_1504_nan,,,9.05436582714667,,0.9917004761113075,-1.8333333333333333,
54.5,,genEL10011_6413_nan_nan_nan_758_nan_nan_00,,,1.6991441710542114,,0.9688742873226391,,9.1875
54.5,,genEL10012_6413_nan_nan_nan_758_nan_nan_2776,,,1.6991441710542114,,0.9687980197883185,,9.1875
54.5,,genEL10013_6413_nan_nan_nan_758_nan_nan_5551,,,1.6991441710542114,,0.9685725084321761,,9.1875
54.5,,genEL10014_6413_nan_nan_nan_758_nan_nan_8327,,,1.6991441710542114,,0.9683469158106801,,9.1875
54.5,,genEL10015_6413_nan_nan_nan_758_nan_nan_11103,,,1.6991441710542114,,0.9681213231891842,,9.1875
54.5,,genEL10016_6413_nan_nan_nan_758_nan_nan_13878,,,1.6991441710542114,,0.9678958118330417,,9.1875
54.5,,genEL10017_6413_nan_nan_nan_758_nan_nan_16654,,,1.6991441710542114,,0.9676702192115458,,9.1875
54.5,,genEL10018_6413_nan_nan_nan_758_nan_nan_1943,,,1.6991441710542114,,0.9674446265900498,,9.1875
3947.0,,genEL10019_6413_nan_nan_nan_758_nan_nan_22205,,,22.779334429765022,,0.8985494016078808,,9.1875
20.5,,genEL1001_10_nan_989_00_nan_nan_nan_nan,9.0,0.026937618147448016,,,0.9903719832648534,,
50.5,,genEL1001_12727_nan_nan_046_nan_nan_-097_nan,,0.05889803673210893,,,0.8631628238600534,-1.8333333333333333,
,1.958,genEL1001_nan_097_nan_nan_758_nan_97_nan,,,7.374630124409407,,0.9523732707243856,0.27289037221817347,
,,genEL1001_nan_nan_10_nan_nan_27906_nan_22205,1.0,,,618.0,0.9975188136928008,,9.1875
,,genEL1001_nan_nan_656_nan_1161_nan_nan_nan,5.0,,11.753221823901828,,0.9979021070166526,,
,,genEL1001_nan_nan_878_031_nan_3576_nan_nan,2.0,0.03731343283582089,,43.5,0.9044352794561571,,
,,genEL1001_nan_nan_878_nan_nan_31382_259_nan,2.0,,,325.5,0.9970718190181863,-1.8333333333333333,
,,genEL1001_nan_nan_nan_015_959_nan_nan_2776,,0.0027875822236483236,25.937453268013453,,0.8635969820437386,,9.1875
,,genEL1001_nan_nan_nan_nan_959_27906_nan_nan,,,9.05436582714667,159.0,0.9953651805194478,,
,,genEL1001_nan_nan_nan_nan_nan_10_1326_16654,,,,5.75,0.998351572668303,-1.8333333333333333,9.1875
54.5,,genEL10020_6413_nan_nan_nan_758_nan_nan_24981,,,1.6991441710542114,,0.9669935226124114,,9.1875
54.5,,genEL10021_6413_nan_nan_nan_959_10_nan_nan,,,1.6991441710542114,43.5,0.9582585012210371,,
89.0,,genEL10022_6413_nan_nan_nan_959_3576_nan_nan,,,9.05436582714667,159.0,0.9967775733447228,,
89.0,,genEL10023_6413_nan_nan_nan_959_7052_nan_nan,,,9.05436582714667,159.0,0.9968546282341393,,
54.5,,genEL10024_6413_nan_nan_nan_959_10527_nan_nan,,,1.6991441710542114,43.5,0.9582157840829745,,
89.0,,genEL10025_6413_nan_nan_nan_959_14003_nan_nan,,,9.05436582714667,159.0,0.9970087158452826,,
89.0,,genEL10026_6413_nan_nan_nan_959_17479_nan_nan,,,9.05436582714667,159.0,0.997015765170609,,
89.0,,genEL10027_6413_nan_nan_nan_959_20955_nan_nan,,,9.05436582714667,159.0,0.9969387102811925,,
89.0,,genEL10028_6413_nan_nan_nan_959_2443_nan_nan,,,9.05436582714667,159.0,0.9968616775594658,,
89.0,,genEL10029_6413_nan_nan_nan_959_27906_nan_nan,,,9.05436582714667,159.0,0.9967846226700492,,
6.0,,genEL1002_10_nan_989_008_nan_nan_nan_nan,7.0,0.0106951871657754,,,0.975209459450633,,
124.5,,genEL1002_12727_nan_nan_046_nan_nan_081_nan,,0.03784033225657591,,,0.8563313966284423,-1.8333333333333333,
,1.958,genEL1002_nan_097_nan_nan_758_nan_1148_nan,,,7.374630124409407,,0.9523309131291928,0.27289037221817347,
,,genEL1002_nan_nan_10_nan_nan_31382_-097_nan,2.0,,,246.5,0.9994176816318949,-1.8333333333333333,
,,genEL1002_nan_nan_878_031_nan_7052_nan_nan,4.0,0.1018898931799507,,70.75,0.9272417923293529,,
,,genEL1002_nan_nan_878_nan_nan_31382_437_nan,2.0,,,593.5,0.9964353673388848,-1.8333333333333333,
,,genEL1002_nan_nan_nan_015_959_nan_nan_5551,,0.009738527214514408,8.321701847436268,,0.945229412188892,,9.1875
,,genEL1002_nan_nan_nan_nan_959_nan_-097_nan,,,9.05436582714667,,0.9957335821030322,-1.8333333333333333,
,,genEL1002_nan_nan_nan_nan_nan_10_1326_1943,,,,535.0,0.9969527550691409,-1.8333333333333333,9.1875
54.5,,genEL10030_6413_nan_nan_nan_959_31382_nan_nan,,,1.6991441710542114,43.5,0.9577534769141652,,
89.0,,genEL10031_6413_nan_nan_nan_959_nan_-097_nan,,,9.05436582714667,,0.9970302237257721,-1.8333333333333333,
315.0,,genEL10032_6413_nan_nan_nan_959_nan_081_nan,,,11.753221823901828,,0.9872671867548135,-1.8333333333333333,
6836.0,,genEL10033_6413_nan_nan_nan_959_nan_259_nan,,,13.619936594008662,,0.9444780337413832,-1.8333333333333333,
1498.0,,genEL10034_6413_nan_nan_nan_959_nan_437_nan,,,16.247516153879786,,0.9575200422275066,-1.8333333333333333,
89.0,,genEL10035_6413_nan_nan_nan_959_nan_615_nan,,,9.05436582714667,,0.9968607933450011,-1.8333333333333333,
89.0,,genEL10036_6413_nan_nan_nan_959_nan_792_nan,,,9.05436582714667,,0.9968186737138264,-1.8333333333333333,
89.0,,genEL10037_6413_nan_nan_nan_959_nan_97_nan,,,9.05436582714667,,0.9967763161186336,-1.8333333333333333,
89.0,,genEL10038_6413_nan_nan_nan_959_nan_1148_nan,,,9.05436582714667,,0.9967339585234408,-1.8333333333333333,
89.0,,genEL10039_6413_nan_nan_nan_959_nan_1326_nan,,,9.05436582714667,,0.9966916009282482,-1.8333333333333333,
3570.0,,genEL1003_10_nan_989_015_nan_nan_nan_nan,10.0,0.015723392929017515,,,0.9362726064372183,,
1942.0,,genEL1003_12727_nan_nan_046_nan_nan_259_nan,,0.0,,,0.8342747611771913,-1.8333333333333333,
360.0,,genEL1003_7992_nan_nan_nan_nan_10527_-097_nan,,,,104.0,0.9985633156207192,-1.8333333333333333,
,1.958,genEL1003_nan_097_nan_nan_758_nan_1326_nan,,,7.374630124409407,,0.9522885555340002,0.27289037221817347,
,,genEL1003_nan_nan_10_nan_nan_31382_081_nan,5.0,,,419.0,0.9980537734011008,-1.8333333333333333,
,,genEL1003_nan_nan_878_031_nan_10527_nan_nan,4.0,0.006408125018891878,,113.25,0.8947478204783145,,
,,genEL1003_nan_nan_878_nan_nan_31382_615_nan,3.0,,,535.0,0.9969352319825949,-1.8333333333333333,
,,genEL1003_nan_nan_nan_015_959_nan_nan_8327,,0.03634361233480176,6.453702651351404,,0.9442055263262895,,9.1875
,,genEL1003_nan_nan_nan_nan_959_nan_081_nan,,,11.753221823901828,,0.9827996704844918,-1.8333333333333333,
,,genEL1003_nan_nan_nan_nan_nan_10_1326_22205,,,,535.0,0.9967272437129985,-1.8333333333333333,9.1875
89.0,,genEL10040_6413_nan_nan_nan_959_nan_1504_nan,,,9.05436582714667,,0.9966492433330554,-1.8333333333333333,
54.5,,genEL10041_6413_nan_nan_nan_959_nan_nan_00,,,1.6991441710542114,,0.9582780513586979,,9.1875
54.5,,genEL10042_6413_nan_nan_nan_959_nan_nan_2776,,,1.6991441710542114,,0.9582017838243774,,9.1875
54.5,,genEL10043_6413_nan_nan_nan_959_nan_nan_5551,,,1.6991441710542114,,0.9579762724682349,,9.1875
161.5,,genEL10044_6413_nan_nan_nan_959_nan_nan_8327,,,8.664992331226573,,0.9940302049346426,,9.1875
54.5,,genEL10045_6413_nan_nan_nan_959_nan_nan_11103,,,1.6991441710542114,,0.957525087225243,,9.1875
